公司的全称,招聘岗位名称,工资,所在城市,工作年限,学历状况,公司标签,详情页url地址,岗位描述
华为,python开发工程师 ,18k-36k,北京,经验不限,['本科及以上 /'],"['IT技术服务｜咨询,智能硬件,网络通信', '不需要融资', '2000人以上']",https://www.lagou.com/wn/jobs/10160252.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【工作职责】 \n', '1. 负责大数据平台、智能中心、网络安全自动化攻防平台系统引擎的设计与开发； \n', '2. 风险评估与威胁预警系统引擎维护与性能调优；插件的设计与开发； \n', '3. 掌握客户实际业务需求，在理解产品业务的基础上，主动提升产品用户体验，技术驱动业务的发展，在交互方式以及页面性能方面不断创新； \n', '4. 涉猎编码、方案改进优化、技术攻关、组织沟通协调多个领域，涉及知识范围广，具有一定研发精神，拥抱变化，能解决各种未知问题，未来发展方向可以多元化转身。 \n', ' \n', '【岗位要求】 \n', '1. 熟练掌握Python编程，具备Python工程化经验； \n', '2、掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式； \n', '3. 有Django、Flask、Tornado框架的工程化经验优化； \n', '5. 有网络安全经验者优先；']"
远江盛邦（北京）网络安全科技股份有限公司,python开发工程师 ,11k-20k,西安,经验3-5年,['本科及以上 /'],"['信息安全', '不需要融资', '150-500人']",https://www.lagou.com/wn/jobs/10467709.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1.负责安全产品开发、故障修复、优化，以及技术支持相关工作； \n', '2.对自身承担模块的开发进度、代码质量负责； \n', ' \n', '岗位要求： \n', '1.本科及以上学历，计算机/软件等相关专业最佳； \n', '2.精通Python，掌握python常用web框架一种及以上，熟悉网络编程、多线程编程、大规模文本数据处理等； \n', '3.有Python爬虫相关经验； \n', '4.有Python分布式架构开发经验优先； \n', '5.熟悉数据库知识，熟练掌握SQL，熟悉redis/mongodb/mysql/postgres/等； \n', '6.强烈的责任感，有良好代码风格，善于分析和解决问题，有较好的沟通和团队合作的能力。']"
拓保软件,Python（急招！双休） ,10k-20k,深圳,经验3-5年,['本科及以上 /'],"['数据服务', '未融资', '2000人以上']",https://www.lagou.com/wn/jobs/10540985.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['职位描述： \n', '1.负责产品服务端研发； \n', '2.深入发掘和分析业务需求，撰写技术方案和系统设计； \n', '3.根据产品需求，进行系统设计和编码； \n', '4.持续对系统架构进行改造和优化，保证系统服务的稳定可靠。 \n', ' \n', '岗位要求： \n', '1.具有本科或更高学位，3年及以上工作经验； \n', '2.熟悉Django、Flask等任意Web框架，掌握HTTP、RESTful等相关协议； \n', '3.掌握python常用的调试手段，有cProfile、meliae等调试工具使用及python性能分析经验更佳； \n', '4.熟悉多进程、协程、任务队列等常用的python并发编程和异步方案及使用经验； \n', '5.熟悉MySQL、Redis、Kafka等相关技术，并能在不同的业务场景使用以上技术解决问题； \n', '6.熟练掌握MySQL数据库，具备MySQL索引优化、查询优化的能力； \n', '7.英文应用能力强，可适应英语工作环境 \n', '加分项（任一即可）： \n', '1、有Golang/Typescript语言实际开发经验 \n', '2、有前端开发经验，熟悉vue等前端框架 \n', '3、有分布式底层系统研发经验 \n', ' \n', '能英语简单读写就可以，最好有区块链相关开发经验，优先考虑可以马上到岗的（至少6月底到岗）']"
中软国际科技服务有限公司,python开发工程师 ,10k-18k,武汉,经验1-3年,['本科及以上 /'],"['IT技术服务｜咨询', '上市公司', '2000人以上']",https://www.lagou.com/wn/jobs/10298602.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1、参与业务需求澄清和讨论分析，把客户需求转化为实际工作包 \n', '2、参与功能模块开发编码工作，逻辑思路清晰，能独立解决bug，独立完成任务 \n', '3、参与数据库设计. \n', '岗位要求： \n', '1、1年以上Python/Java TO B端系统类项目研发经验； \n', '2、熟悉postgresql， elasticsearch，linux， nginx，redis等技术生态； \n', '3、熟悉任意一个web框架（flask/Django/Node.js等），有安全数据类系统经验更佳； \n', '4、熟悉数据库设计、管理与优化； \n', '5、熟悉常见设计模式，熟悉常用的数据结构和算法,有良好的编程风格']"
安势信息,python开发工程师 ,18k-30k,上海,经验3-5年,['大专及以上 /'],"['信息安全', '天使轮', '50-150人']",https://www.lagou.com/wn/jobs/10495986.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1、 独立完成项目的系统分析和技术架构设计，并主导完成详细设计和编码的任务，确保项目的进度和质量 \n', '2、 负责软件需求分析、设计、开发工作，承担解决方案相关产品需求分析、设计、开发，高质量完成系统交付 \n', '3、 负责改进软件产品的性能、可扩展性、稳定性及安全性，负责关键技术的提前验证，消除版本落地的技术风险 \n', ' \n', '岗位要求： \n', '1、大专及以上学历，2年以上后端开发经验 \n', '2、 熟悉Django/Flask等任意Web框架，熟悉PostgreSQL或MySQL数据库操作，熟悉SQL语句编写和性能调优 \n', '3、 熟练掌握缓存,消息队列机制,具有高并发、大数据系统设计、研发、调优经验，能对分布式微服务常用技术进行合理应用，解决问题，了解高并发消息队列、RPC、KV系统的应用 \n', '4、 具有大规模架构的实践经验，熟悉故障定位、容量规划、架构设计、性能优化等方面 \n', '5、 熟悉常用的数据结构，具有良好的代码风格、接口设计与框架设计能力 \n', '6、 有较强的逻辑思维能力和沟通能力，主动积极有责任感，有良好的团队合作精神']"
华为,python开发工程师 ,18k-35k,北京,经验不限,['本科及以上 /'],"['IT技术服务｜咨询,智能硬件,网络通信', '不需要融资', '2000人以上']",https://www.lagou.com/wn/jobs/9954763.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【工作职责】 \n', '1. 负责风险评估与威胁预警系统引擎的设计与开发； \n', '2. 负责风险评估与威胁预警系统引擎维护与性能调优； \n', '3. 负责风险评估与威胁预警系统插件的设计与开发； \n', '4. 负责风险评估与威胁预警系统插件的日常维护和优化工作； \n', ' \n', '【岗位要求】 \n', '1. 熟练掌握Python编程，具备Python工程化经验； \n', '2、掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式； \n', '3. 有Django、Flask、Tornado框架的工程化经验优化； \n', '5. 有网络安全经验者优先；']"
极光,Python开发工程师 ,18k-25k,深圳,经验1-3年,['本科及以上 /'],"['软件服务｜咨询,IT技术服务｜咨询', '上市公司', '复星昆仲，IDG，Mandra capital(B轮)']",https://www.lagou.com/wn/jobs/10309523.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位内容： \n', '1、参与公司内部系统的研发工作； \n', '2、公司内部系统的日常维护工作。 \n', ' \n', '任职资格 ： \n', '1、本科及以上学历，计算机相关专业； \n', '2、1 - 3年相关python开发经验，对技术有热情； \n', '3、基本掌握 Python 的最佳实践方法，熟悉flask或django框架； \n', '4、有 MySQL, Redis 和消息队列等常用的技术栈工具的使用经验； \n', '5、熟悉 Http 协议，RESTful 规范，有良好的编码习惯； \n', '6、具备良好的沟通、理解、表达能力，积极主动完成研发任务。 \n', ' \n', ' \n', '如果您除了以上条件，并具备以下两个条件，那将是加分项： \n', '1、熟悉golang语言； \n', '2、有使用 Docker、Kubernetes 经验。']"
深圳市慧择软件集团有限公司,python开发 ,20k-40k,深圳,经验3-5年,['本科及以上 /'],"['IT技术服务｜咨询', '不需要融资', '500-2000人']",https://www.lagou.com/wn/jobs/10412399.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1、 参与公司现有系统平台的维护和迭代研发； \n', '2、 参与公司新项目的架构设计和迭代研发。 \n', ' \n', '任职资格： \n', '1、 本科及以上学历，计算机相关专业； \n', '2、 3 - 5年相关经验，对技术有热情； \n', '3、基本掌握 Python 的最佳实践方法，有 MySQL/PostgreSQL/MongoDB, Redis 和消息队列等常用的技术栈工具的使用经验； \n', '5、具备大型网站服务器/数据库/部署/架构能力，对消息队列、任务调度、负载均衡、并发控制有较好理解，有微服务组合经验； \n', '6、 熟悉 Linux Shell 常用命令，熟悉Git，熟悉 Https 协议，RESTful 规范，有良好的编码习惯； \n', '7、要求思维活跃，有极客精神，执行力强，熟悉异步编程、事件编程，具有分析系统瓶颈，对系统进行性能调优的能力和经验； \n', '8、 具备良好的沟通、理解、表达能力，主动推动研发力量完成产品研发。 \n', ' \n', '加分项： \n', '1、 有使用 Docker、Kubernetes 经验； \n', '2、 有写 Blog 的习惯，活跃于技术社区，参与开源项目等； \n', '3、 有审批流/CRM/rbac项目经验']"
赛意,python开发工程师 ,13k-16k,武汉,经验3-5年,['本科及以上 /'],"['IT技术服务｜咨询', '上市公司', '2000人以上']",https://www.lagou.com/wn/jobs/10280541.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['**本科学历学信网可查 \n', ' 1.3年以上相关工作经验，熟悉Python的中后台开发工作, 具有丰富的项目开发经验, 熟悉Linux； \n', '2.有RESTful API的设计开发经验, 熟悉Django, Flask等框架 \n', '3.熟悉常见的关系型数据库的操作, 对MySQL/MongoDB/Redis等能够熟练使用； \n', '4.具有数据处理的项目经验, 包括数据的预处理, 特征工程等工作, 熟练使用numpy/pandas以及spark进行数据处理计算工作； \n', '5了解机器学习, 能够熟练使用sklearn构建简单模型； \n', '6. 了解深度学习, 对tensorflow/keras等常见的深度学习框架有使用经验；']"
安势信息,python开发工程师 ,18k-30k,上海,经验3-5年,['大专及以上 /'],"['信息安全', '天使轮', '50-150人']",https://www.lagou.com/wn/jobs/10495986.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1、 独立完成项目的系统分析和技术架构设计，并主导完成详细设计和编码的任务，确保项目的进度和质量 \n', '2、 负责软件需求分析、设计、开发工作，承担解决方案相关产品需求分析、设计、开发，高质量完成系统交付 \n', '3、 负责改进软件产品的性能、可扩展性、稳定性及安全性，负责关键技术的提前验证，消除版本落地的技术风险 \n', ' \n', '岗位要求： \n', '1、大专及以上学历，2年以上后端开发经验 \n', '2、 熟悉Django/Flask等任意Web框架，熟悉PostgreSQL或MySQL数据库操作，熟悉SQL语句编写和性能调优 \n', '3、 熟练掌握缓存,消息队列机制,具有高并发、大数据系统设计、研发、调优经验，能对分布式微服务常用技术进行合理应用，解决问题，了解高并发消息队列、RPC、KV系统的应用 \n', '4、 具有大规模架构的实践经验，熟悉故障定位、容量规划、架构设计、性能优化等方面 \n', '5、 熟悉常用的数据结构，具有良好的代码风格、接口设计与框架设计能力 \n', '6、 有较强的逻辑思维能力和沟通能力，主动积极有责任感，有良好的团队合作精神']"
华为,python开发工程师 ,18k-35k,北京,经验不限,['本科及以上 /'],"['IT技术服务｜咨询,智能硬件,网络通信', '不需要融资', '2000人以上']",https://www.lagou.com/wn/jobs/9954763.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【工作职责】 \n', '1. 负责风险评估与威胁预警系统引擎的设计与开发； \n', '2. 负责风险评估与威胁预警系统引擎维护与性能调优； \n', '3. 负责风险评估与威胁预警系统插件的设计与开发； \n', '4. 负责风险评估与威胁预警系统插件的日常维护和优化工作； \n', ' \n', '【岗位要求】 \n', '1. 熟练掌握Python编程，具备Python工程化经验； \n', '2、掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式； \n', '3. 有Django、Flask、Tornado框架的工程化经验优化； \n', '5. 有网络安全经验者优先；']"
极光,Python开发工程师 ,18k-25k,深圳,经验1-3年,['本科及以上 /'],"['软件服务｜咨询,IT技术服务｜咨询', '上市公司', '复星昆仲，IDG，Mandra capital(B轮)']",https://www.lagou.com/wn/jobs/10309523.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位内容： \n', '1、参与公司内部系统的研发工作； \n', '2、公司内部系统的日常维护工作。 \n', ' \n', '任职资格 ： \n', '1、本科及以上学历，计算机相关专业； \n', '2、1 - 3年相关python开发经验，对技术有热情； \n', '3、基本掌握 Python 的最佳实践方法，熟悉flask或django框架； \n', '4、有 MySQL, Redis 和消息队列等常用的技术栈工具的使用经验； \n', '5、熟悉 Http 协议，RESTful 规范，有良好的编码习惯； \n', '6、具备良好的沟通、理解、表达能力，积极主动完成研发任务。 \n', ' \n', ' \n', '如果您除了以上条件，并具备以下两个条件，那将是加分项： \n', '1、熟悉golang语言； \n', '2、有使用 Docker、Kubernetes 经验。']"
深圳市慧择软件集团有限公司,python开发 ,20k-40k,深圳,经验3-5年,['本科及以上 /'],"['IT技术服务｜咨询', '不需要融资', '500-2000人']",https://www.lagou.com/wn/jobs/10412399.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1、 参与公司现有系统平台的维护和迭代研发； \n', '2、 参与公司新项目的架构设计和迭代研发。 \n', ' \n', '任职资格： \n', '1、 本科及以上学历，计算机相关专业； \n', '2、 3 - 5年相关经验，对技术有热情； \n', '3、基本掌握 Python 的最佳实践方法，有 MySQL/PostgreSQL/MongoDB, Redis 和消息队列等常用的技术栈工具的使用经验； \n', '5、具备大型网站服务器/数据库/部署/架构能力，对消息队列、任务调度、负载均衡、并发控制有较好理解，有微服务组合经验； \n', '6、 熟悉 Linux Shell 常用命令，熟悉Git，熟悉 Https 协议，RESTful 规范，有良好的编码习惯； \n', '7、要求思维活跃，有极客精神，执行力强，熟悉异步编程、事件编程，具有分析系统瓶颈，对系统进行性能调优的能力和经验； \n', '8、 具备良好的沟通、理解、表达能力，主动推动研发力量完成产品研发。 \n', ' \n', '加分项： \n', '1、 有使用 Docker、Kubernetes 经验； \n', '2、 有写 Blog 的习惯，活跃于技术社区，参与开源项目等； \n', '3、 有审批流/CRM/rbac项目经验']"
赛意,python开发工程师 ,13k-16k,武汉,经验3-5年,['本科及以上 /'],"['IT技术服务｜咨询', '上市公司', '2000人以上']",https://www.lagou.com/wn/jobs/10280541.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['**本科学历学信网可查 \n', ' 1.3年以上相关工作经验，熟悉Python的中后台开发工作, 具有丰富的项目开发经验, 熟悉Linux； \n', '2.有RESTful API的设计开发经验, 熟悉Django, Flask等框架 \n', '3.熟悉常见的关系型数据库的操作, 对MySQL/MongoDB/Redis等能够熟练使用； \n', '4.具有数据处理的项目经验, 包括数据的预处理, 特征工程等工作, 熟练使用numpy/pandas以及spark进行数据处理计算工作； \n', '5了解机器学习, 能够熟练使用sklearn构建简单模型； \n', '6. 了解深度学习, 对tensorflow/keras等常见的深度学习框架有使用经验；']"
中软国际科技服务有限公司,python ,18k-30k,北京,经验5-10年,['本科及以上 /'],"['IT技术服务｜咨询', '上市公司', '2000人以上']",https://www.lagou.com/wn/jobs/10300431.html?show=47e2e36d309246e5a3a7549e53a1f0d7,['熟练掌握Python语言的开发，有独立开发功能模块的能力； 熟练掌握Python正则表达，熟练处理相关文本、数值； 熟悉基于Python的基本分类、预测模型的训练和使用； 熟悉MySQL，PgSQL，Redis等关系型、非关系型数据库的连接，查询，修改等；']
